CORPORATION,SURVEY,PERIOD,COMPANY_NAME,RDIST_LABEL,STATE_NAME,SITE,PADD,PRODUCT,SUPPLY,QUANTITY
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Current Year (barrels per calendar day)",9396
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Current Year (barrels per stream day)",15000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Next Year (barrels per stream day)",15000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",5011
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, HEAVY GAS OIL","Downstream Charge Capacity, Current Year (barrels per stream day)",21000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, HEAVY GAS OIL","Downstream Charge Capacity, Next Year (barrels per stream day)",21000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Current Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Next Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,HYDROGEN (MMCFD),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",23
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,HYDROGEN (MMCFD),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",23
ALON ISRAEL OIL COMPANY LTD,820,12,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOBUTANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",300
