CORPORATION,SURVEY,PERIOD,COMPANY_NAME,RDIST_LABEL,STATE_NAME,SITE,PADD,PRODUCT,SUPPLY,QUANTITY
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Current Year (barrels per calendar day)",14250
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Current Year (barrels per stream day)",15000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Next Year (barrels per stream day)",15000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",7600
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, HEAVY GAS OIL","Downstream Charge Capacity, Current Year (barrels per stream day)",21000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, HEAVY GAS OIL","Downstream Charge Capacity, Next Year (barrels per stream day)",21000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Current Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Next Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,HYDROGEN (MMCFD),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",23
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,HYDROGEN (MMCFD),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",23
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOBUTANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",300
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOBUTANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",300
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",500
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",500
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION(ISOOCTANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",200
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION(ISOOCTANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",200
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,SULFUR (SHORT TONS/DAY),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",70
ALON ISRAEL OIL COMPANY LTD,820,16,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,SULFUR (SHORT TONS/DAY),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",70
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per calendar day)",33000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per stream day)",34000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Next Year (barrels per stream day)",34000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",12000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",13000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",13000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, GASOLINE","Downstream Charge Capacity, Current Year (barrels per stream day)",18000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, GASOLINE","Downstream Charge Capacity, Next Year (barrels per stream day)",18000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Current Year (barrels per stream day)",14000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Next Year (barrels per stream day)",14000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",6220
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",6220
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),80000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),83000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"TOTAL OPER CAP (PROJECTED, NEXT YEAR)",Atmospheric Crude Distillation Capacity (barrels per stream day),83000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),80000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),83000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,VACUUM DISTILLATION,"Downstream Charge Capacity, Current Year (barrels per stream day)",36200
ALON ISRAEL OIL COMPANY LTD,820,16,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,VACUUM DISTILLATION,"Downstream Charge Capacity, Next Year (barrels per stream day)",36200
ALON ISRAEL OIL COMPANY LTD,820,16,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",5000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ALKYLATES,"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",5000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,AROMATICS,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",1000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,AROMATICS,"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",1000
ALON ISRAEL OIL COMPANY LTD,820,16,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ASPHALT & ROAD OIL,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",7600
ALON ISRAEL OIL COMPANY LTD,820,16,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ASPHALT & ROAD OIL,"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",7600
